
104年02月24日當日沖銷交易統計資訊(股/元)
當日沖銷交易總成交股數,當日沖銷交易總成交股數占市場比重%,當日沖銷交易總買進成交金額,當日沖銷交易總買進成交金額占市場比重%,當日沖銷交易總賣出成交金額,當日沖銷交易總賣出成交金額占市場比重%
57189000,1.37,3249562290,2.83,3259483630,2.83
	備註：1.當日沖銷交易總成交股數占市場比重% = 當日沖銷交易總成交股數／整體市場成交股數* 1002.當日沖銷交易總買進(賣出)成交金額占市場比重% = 當日沖銷交易總買進(賣出)成交金額／(整體市場買進+賣出成交金額)÷2* 1003.整體市場成交股數（成交金額）包含一般交易、盤後定價交易、零股交易及鉅額交易之成交股數（成交金額）	

104年02月24日當日沖銷交易標的及成交量值(股/元)
證券代號,證券名稱,暫停現股賣出後現款買進當沖註記,當日沖銷交易成交股數,當日沖銷交易買進成交金額,當日沖銷交易賣出成交金額
1101  ,台泥                ,   ,135000,5762700,5780150
1102  ,亞泥                ,   ,47000,1821600,1830300
1216  ,統一                ,   ,244000,12952300,13041900
1227  ,佳格                ,   ,10000,724100,725800
1301  ,台塑                ,   ,197000,15375100,15330800
1303  ,南亞                ,   ,101000,6963500,6972800
1314  ,中石化              ,   ,243000,2842850,2852250
1319  ,東陽                ,   ,79000,3001200,3013550
1326  ,台化                ,   ,32000,2272400,2283600
1402  ,遠東新              ,   ,116000,3752250,3776500
1434  ,福懋                ,   ,18000,604050,606900
1440  ,南紡                ,   ,36000,629600,629250
1476  ,儒鴻                ,   ,274000,93075000,92996000
1477  ,聚陽                ,   ,310000,61287500,61832500
1504  ,東元                ,   ,321000,10100200,10205700
1507  ,永大                ,   ,19000,1374200,1385500
1590  ,F-亞德              ,   ,4000,1094000,1092000
1605  ,華新                ,   ,248000,2429560,2437550
1710  ,東聯                ,   ,51000,1449200,1458200
1717  ,長興                ,   ,1000,31700,31750
1722  ,台肥                ,   ,7000,377300,380300
1723  ,中碳                ,   ,3000,433000,436500
1789  ,神隆                ,   ,13000,640100,636800
1802  ,台玻                ,   ,0,0,0
1907  ,永豐餘              ,   ,13000,166550,167250
2002  ,中鋼                ,   ,314000,8302850,8334450
2006  ,東鋼                ,   ,1000,23750,23650
2015  ,豐興                ,   ,0,0,0
2049  ,上銀                ,   ,87000,21998000,22078500
2059  ,川湖                ,   ,24000,11859000,11876000
2101  ,南港                ,   ,9000,290150,291100
2103  ,台橡                ,   ,93000,3171900,3171950
2105  ,正新                ,   ,75000,5770700,5808200
2106  ,建大                ,   ,6000,385300,386600
2201  ,裕隆                ,   ,68000,3060550,3089000
2204  ,中華                ,   ,0,0,0
2206  ,三陽                ,   ,18000,486500,486500
2207  ,和泰車              ,   ,3000,1449000,1453500
2227  ,裕日車              ,   ,8000,2319000,2322500
2301  ,光寶科              ,   ,57000,2233050,2244000
2303  ,聯電                ,   ,2457000,38686650,38793050
2308  ,台達電              ,   ,290000,59717500,59909500
2311  ,日月光              ,   ,1540000,65984800,66140900
2317  ,鴻海                ,   ,1012000,87287000,87126500
2324  ,仁寶                ,   ,376000,8890650,8904600
2325  ,矽品                ,   ,416000,22738200,22817000
2327  ,國巨                ,   ,68000,4045600,4051000
2330  ,台積電              ,   ,1017000,151863500,153411500
2337  ,旺宏                ,   ,127000,873290,871830
2344  ,華邦電              ,   ,777000,8202100,8204800
2347  ,聯強                ,   ,41000,1879050,1880350
2352  ,佳世達              ,   ,41000,583400,583700
2353  ,宏碁                ,   ,264000,5318700,5325200
2354  ,鴻準                ,   ,140000,11341900,11334700
2356  ,英業達              ,   ,1502000,35507150,35716350
2357  ,華碩                ,   ,161000,52067000,52398500
2360  ,致茂                ,   ,302000,24242300,24540300
2362  ,藍天                ,   ,29000,1420050,1419800
2376  ,技嘉                ,   ,23000,911650,913050
2377  ,微星                ,   ,642000,25090400,25069850
2379  ,瑞昱                ,   ,71000,6990100,6966300
2382  ,廣達                ,   ,414000,33242800,33220400
2385  ,群光                ,   ,17000,1483900,1484800
2392  ,正崴                ,   ,11000,612800,612200
2393  ,億光                ,   ,197000,15739000,15875900
