tse_1101.twtse_1102.twtse_1216.twtse_1227.twtse_1301.twtse_1303.twtse_1314.twtse_1319.twtse_1326.twtse_1402.twtse_1434.twtse_1440.twtse_1476.twtse_1477.twtse_1504.twtse_1507.twtse_1590.twtse_1605.twtse_1710.twtse_1717.twtse_1722.twtse_1723.twtse_1789.twtse_1802.twtse_1907.twtse_2002.twtse_2006.twtse_2015.twtse_2049.twtse_2059.twtse_2101.twtse_2103.twtse_2105.twtse_2106.twtse_2201.twtse_2204.twtse_2206.twtse_2207.twtse_2227.twtse_2301.twtse_2303.twtse_2308.twtse_2311.twtse_2317.twtse_2324.twtse_2325.twtse_2327.twtse_2330.twtse_2337.twtse_2344.twtse_2347.twtse_2352.twtse_2353.twtse_2354.twtse_2356.twtse_2357.twtse_2360.twtse_2362.twtse_2376.twtse_2377.twtse_2379.twtse_2382.twtse_2385.twtse_2392.twtse_2393.twtse_2395.twtse_2408.twtse_2409.twtse_2412.twtse_2439.twtse_2448.twtse_2449.twtse_2451.twtse_2454.twtse_2474.twtse_2498.twtse_2501.twtse_2511.twtse_2542.twtse_2603.twtse_2606.twtse_2609.twtse_2610.twtse_2615.twtse_2618.twtse_2707.twtse_2723.twtse_2727.twtse_2801.twtse_2809.twtse_2812.twtse_2823.twtse_2834.twtse_2838.twtse_2845.twtse_2855.twtse_2880.twtse_2881.twtse_2882.twtse_2883.twtse_2884.twtse_2885.twtse_2886.twtse_2887.twtse_2888.twtse_2890.twtse_2891.twtse_2892.twtse_2903.twtse_2912.twtse_2915.twtse_3008.twtse_3034.twtse_3037.twtse_3044.twtse_3045.twtse_3060.twtse_3189.twtse_3231.twtse_3474.twtse_3481.twtse_3576.twtse_3673.twtse_3682.twtse_3702.twtse_4904.twtse_4938.twtse_4958.twtse_5264.twtse_5522.twtse_5871.twtse_5880.twtse_6005.twtse_6116.twtse_6176.twtse_6239.twtse_6271.twtse_6286.twtse_6505.twtse_8046.twtse_8150.twtse_9904.twtse_9907.twtse_9910.twtse_9914.twtse_9917.twtse_9921.twtse_9933.twtse_9940.twtse_9945.tw
[ERROR] msgArray not 150 error
         51829 function calls (50330 primitive calls) in 0.134 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.002    0.002    0.134    0.134 crawl.py:4(<module>)
        1    0.001    0.001    0.078    0.078 __init__.py:42(<module>)
        1    0.000    0.000    0.052    0.052 api.py:57(get)
        1    0.000    0.000    0.052    0.052 api.py:17(request)
        5    0.001    0.000    0.051    0.010 __init__.py:1(<module>)
        1    0.000    0.000    0.047    0.047 sessions.py:382(request)
        1    0.000    0.000    0.044    0.044 __init__.py:3(<module>)
        1    0.003    0.003    0.043    0.043 connectionpool.py:1(<module>)
        1    0.000    0.000    0.035    0.035 sessions.py:535(send)
        1    0.000    0.000    0.034    0.034 adapters.py:323(send)
        1    0.000    0.000    0.032    0.032 connectionpool.py:402(urlopen)
        1    0.000    0.000    0.031    0.031 connectionpool.py:298(_make_request)
        1    0.001    0.001    0.030    0.030 utils.py:10(<module>)
       70    0.001    0.000    0.027    0.000 re.py:230(_compile)
       57    0.000    0.000    0.027    0.000 sre_compile.py:567(compile)
       62    0.000    0.000    0.026    0.000 re.py:192(compile)
        1    0.000    0.000    0.025    0.025 httplib.py:1037(getresponse)
        1    0.000    0.000    0.025    0.025 httplib.py:408(begin)
       11    0.000    0.000    0.025    0.002 socket.py:406(readline)
        1    0.000    0.000    0.025    0.025 httplib.py:369(_read_status)
        2    0.025    0.012    0.025    0.012 {method 'recv' of '_socket.socket' objects}
        1    0.002    0.002    0.023    0.023 compat.py:5(<module>)
    60/57    0.000    0.000    0.016    0.000 sre_parse.py:686(parse)
   230/60    0.001    0.000    0.016    0.000 sre_parse.py:310(_parse_sub)
   266/62    0.005    0.000    0.015    0.000 sre_parse.py:388(_parse)
        2    0.001    0.000    0.015    0.008 request.py:1(<module>)
        1    0.001    0.001    0.014    0.014 filepost.py:1(<module>)
        2    0.001    0.001    0.011    0.006 __init__.py:99(<module>)
        2    0.002    0.001    0.011    0.006 connection.py:1(<module>)
       57    0.000    0.000    0.010    0.000 sre_compile.py:552(_code)
        1    0.001    0.001    0.009    0.009 uuid.py:45(<module>)
        1    0.000    0.000    0.009    0.009 sessions.py:614(merge_environment_settings)
        1    0.000    0.000    0.008    0.008 utils.py:522(get_environ_proxies)
        1    0.000    0.000    0.008    0.008 utils.py:477(should_bypass_proxies)
        1    0.000    0.000    0.008    0.008 urllib.py:1474(proxy_bypass)
        1    0.000    0.000    0.008    0.008 urllib.py:1407(proxy_bypass_macosx_sysconf)
        1    0.001    0.001    0.008    0.008 httplib.py:67(<module>)
        1    0.000    0.000    0.007    0.007 cookielib.py:26(<module>)
   455/57    0.003    0.000    0.007    0.000 sre_compile.py:64(_compile)
        1    0.000    0.000    0.006    0.006 httplib.py:999(request)
        1    0.000    0.000    0.006    0.006 httplib.py:1020(_send_request)
        1    0.000    0.000    0.006    0.006 httplib.py:984(endheaders)
        1    0.000    0.000    0.006    0.006 httplib.py:835(_send_output)
        1    0.000    0.000    0.006    0.006 httplib.py:808(send)
        1    0.000    0.000    0.006    0.006 connection.py:154(connect)
        1    0.000    0.000    0.006    0.006 connection.py:120(_new_conn)
        1    0.000    0.000    0.006    0.006 connection.py:48(create_connection)
        1    0.003    0.003    0.006    0.006 __init__.py:24(<module>)
        5    0.000    0.000    0.006    0.001 socket.py:223(meth)
        1    0.005    0.005    0.005    0.005 {method 'connect' of '_socket.socket' objects}
     3642    0.001    0.000    0.005    0.000 sre_parse.py:210(get)
        1    0.001    0.001    0.005    0.005 decimal.py:116(<module>)
        1    0.000    0.000    0.005    0.005 platform.py:10(<module>)
        1    0.001    0.001    0.005    0.005 mimetools.py:1(<module>)
        1    0.000    0.000    0.005    0.005 sessions.py:282(__init__)
     4205    0.004    0.000    0.004    0.000 sre_parse.py:191(__next)
        1    0.001    0.001    0.004    0.004 fields.py:1(<module>)
        1    0.000    0.000    0.004    0.004 utils.py:561(default_headers)
        1    0.000    0.000    0.004    0.004 utils.py:530(default_user_agent)
        1    0.000    0.000    0.004    0.004 platform.py:1303(system)
        2    0.000    0.000    0.004    0.002 platform.py:1166(uname)
        1    0.000    0.000    0.004    0.004 platform.py:1000(_syscmd_uname)
        1    0.000    0.000    0.004    0.004 util.py:4(<module>)
        1    0.001    0.001    0.004    0.004 tempfile.py:18(<module>)
      291    0.004    0.000    0.004    0.000 {method 'read' of 'file' objects}
