09:00:06,30.36,1,1,30.66_,104_,29.51_29.21_28.91_,1_4_5_
09:00:11,30.36,1,1,30.51_,104_,30.21_29.51_29.21_28.91_,1_1_4_5_
09:00:11,30.36,1,1,30.51_,104_,30.21_29.51_29.21_28.91_,1_1_4_5_
09:00:11,30.36,1,1,30.51_,104_,30.21_29.51_29.21_28.91_,1_1_4_5_
09:00:11,30.36,1,1,30.51_,104_,30.21_29.51_29.21_28.91_,1_1_4_5_
09:00:52,30.36,1,1,30.29_30.34_30.51_,21_24_104_,30.21_30.01_29.96_29.51_29.21_,1_20_20_1_4_
09:01:22,30.36,1,1,30.28_30.33_30.51_,21_28_104_,30.21_30.00_29.95_29.51_29.21_,1_20_20_1_4_
09:01:28,30.36,1,1,30.26_30.31_30.51_,24_29_104_,30.21_29.98_29.93_29.51_29.21_,1_20_20_1_4_
09:01:58,30.36,1,1,30.23_30.28_30.51_,27_28_104_,30.21_29.95_29.90_29.51_29.21_,1_20_20_1_4_
09:05:08,30.20,1,2,30.18_30.23_30.35_,29_21_104_,30.05_29.94_29.90_29.85_29.51_,1_1_20_20_1_
09:05:13,30.20,1,2,30.19_30.24_30.35_,25_25_104_,30.05_29.94_29.91_29.86_29.51_,1_1_20_20_1_
09:05:18,30.20,1,2,30.18_30.23_30.35_,24_28_104_,30.05_29.94_29.90_29.85_29.51_,1_1_20_20_1_
09:06:20,30.20,1,2,30.14_30.19_30.35_,21_25_104_,30.05_29.94_29.86_29.81_29.51_,1_1_20_20_1_
09:06:35,30.20,1,2,30.14_30.19_30.35_,29_27_104_,30.05_29.94_29.86_29.81_29.51_,1_1_20_20_1_
09:06:35,30.20,1,2,30.14_30.19_30.35_,29_27_104_,30.05_29.94_29.86_29.81_29.51_,1_1_20_20_1_
09:06:50,30.20,1,2,30.14_30.19_30.35_,20_21_104_,30.05_29.94_29.86_29.81_29.51_,1_1_20_20_1_
09:07:06,30.20,1,2,30.15_30.20_30.35_,22_22_104_,30.05_29.94_29.87_29.82_29.51_,1_1_20_20_1_
09:07:06,30.20,1,2,30.15_30.20_30.35_,22_22_104_,30.05_29.94_29.87_29.82_29.51_,1_1_20_20_1_
