09:47:02,28.40,2,2,28.39_28.44_28.47_,80_2_2_,28.17_28.11_28.09_,1_2_20_
09:47:18,28.40,2,2,28.41_28.46_,80_2_,28.19_28.12_,1_20_
09:47:38,28.40,2,2,28.40_28.46_,80_2_,28.19_28.11_,2_20_
09:49:26,28.40,2,2,28.40_28.46_,80_2_,28.11_,20_
09:50:02,28.40,2,2,28.41_28.47_,80_1_,28.19_28.12_,1_20_
09:50:17,28.40,2,2,28.42_28.47_,80_2_,28.19_28.12_,2_20_
09:50:53,28.40,2,2,28.41_28.48_,80_2_,28.20_28.11_,1_20_
09:51:03,28.40,2,2,28.43_28.48_,80_1_,28.20_28.14_,1_20_
09:51:13,28.40,2,2,28.42_28.47_,80_2_,28.20_28.12_,1_20_
09:53:06,28.40,2,2,28.41_28.46_,80_1_,28.19_28.12_,2_20_
09:53:52,28.40,2,2,28.41_28.47_,80_2_,28.19_28.12_,2_20_
09:54:23,28.40,2,2,28.40_28.46_,80_1_,28.11_,20_
09:57:38,28.40,2,2,28.40_,80_,28.18_28.10_,1_20_
10:00:53,28.40,2,2,28.40_28.46_,80_1_,28.19_28.11_,2_20_
10:00:58,28.40,2,2,28.41_28.47_,80_2_,28.19_28.12_,2_20_
10:01:28,28.40,2,2,28.41_28.47_,80_2_,28.19_28.11_,2_20_
10:01:34,28.40,2,2,28.40_28.46_,80_2_,28.19_28.10_,2_20_
10:01:39,28.40,2,2,28.40_28.46_,80_1_,28.19_28.10_,1_20_
10:01:44,28.40,2,2,28.40_28.47_,80_1_,28.20_28.11_,1_20_
10:02:10,28.40,2,2,28.42_28.48_,80_2_,28.20_28.12_,1_20_
10:02:35,28.40,2,2,28.42_28.48_,80_2_,28.20_28.12_,1_20_
10:03:37,28.40,2,2,28.41_28.47_,80_2_,28.19_28.12_,2_20_
10:04:28,28.40,2,2,28.42_28.47_,80_2_,28.20_28.13_,1_20_
10:04:33,28.40,2,2,28.41_28.47_,80_2_,28.19_28.12_,2_20_
10:04:38,28.40,2,2,28.42_28.49_,80_2_,28.21_28.13_,2_20_
10:04:43,28.40,2,2,28.44_28.49_,80_2_,28.22_28.14_,1_20_
10:04:48,28.40,2,2,28.43_28.47_,80_1_,28.20_28.13_,2_20_
10:05:50,28.40,2,2,28.41_28.47_,80_2_,28.20_28.12_,1_20_
10:06:26,28.40,2,2,28.41_28.48_,80_2_,28.20_28.12_,1_20_
10:08:49,28.40,2,2,28.40_28.46_,80_2_,28.18_28.11_,1_20_
10:09:25,28.40,2,2,28.37_28.43_,80_2_,28.16_28.08_,2_20_
