09:00:22,37.60,2,4,42.84_42.85_,1_2_,37.60_37.20_36.80_,1_4_5_
09:01:13,37.60,2,4,42.84_42.85_,1_2_,37.20_36.80_,4_5_
09:04:13,37.60,2,4,42.80_42.84_42.85_,2_1_2_,37.20_36.80_,4_5_
09:11:23,38.52,2,6,38.55_38.56_42.84_42.85_,10_10_1_2_,38.17_38.16_38.15_37.20_36.80_,10_10_10_4_5_
09:12:19,38.52,2,6,38.47_38.48_42.84_42.85_,10_10_1_2_,38.08_38.07_38.06_37.20_36.80_,10_10_10_4_5_
09:12:29,38.52,2,6,38.47_38.48_42.84_42.85_,10_10_1_2_,38.09_38.08_38.07_37.20_36.80_,10_10_10_4_5_
09:14:37,38.52,2,6,38.46_38.47_42.84_42.85_,10_10_1_2_,38.07_38.06_38.05_37.20_36.80_,10_10_10_4_5_
09:17:41,37.99,5,11,38.41_38.42_42.84_42.85_,10_10_1_2_,38.02_38.01_38.00_37.20_36.80_,10_10_10_4_5_
09:19:08,37.99,5,11,38.33_38.34_42.84_42.85_,10_10_1_2_,37.95_37.94_37.93_37.20_36.80_,10_10_10_4_5_
09:19:44,37.99,5,11,38.34_38.35_42.84_42.85_,10_10_1_2_,37.95_37.94_37.93_37.20_36.80_,10_10_10_4_5_
09:20:00,37.99,5,11,38.34_38.35_42.84_42.85_,10_10_1_2_,37.96_37.95_37.94_37.20_36.80_,10_10_10_4_5_
09:21:32,37.99,5,11,38.34_38.35_42.84_42.85_,10_10_1_2_,37.95_37.94_37.93_37.20_36.80_,10_10_10_4_5_
09:22:03,37.99,5,11,38.33_38.34_42.84_42.85_,10_10_1_2_,37.95_37.94_37.93_37.20_36.80_,10_10_10_4_5_
09:22:08,37.99,5,11,38.26_38.27_42.84_42.85_,10_10_1_2_,37.88_37.87_37.86_37.20_36.80_,10_10_10_4_5_
09:22:18,37.99,5,11,38.33_38.34_42.84_42.85_,10_10_1_2_,37.94_37.93_37.92_37.20_36.80_,10_10_10_4_5_
09:22:43,37.99,5,11,38.26_38.27_42.84_42.85_,10_10_1_2_,37.87_37.86_37.85_37.20_36.80_,10_10_10_4_5_
09:24:36,37.99,5,11,38.32_38.33_42.84_42.85_,10_10_1_2_,37.94_37.93_37.92_37.20_36.80_,10_10_10_4_5_
09:24:56,37.99,5,11,38.32_38.33_42.84_42.85_,10_10_1_2_,37.93_37.92_37.91_37.20_36.80_,10_10_10_4_5_
09:25:58,37.99,5,11,38.32_38.33_42.84_42.85_,10_10_1_2_,37.93_37.92_37.91_37.20_36.80_,10_10_10_4_5_
09:27:45,37.99,5,11,38.31_38.32_42.84_42.85_,10_10_1_2_,37.92_37.91_37.90_37.20_36.80_,10_10_10_4_5_
09:28:06,37.99,5,11,38.22_38.23_38.30_42.84_42.85_,10_10_10_1_2_,37.89_37.83_37.20_36.80_,10_10_4_5_
09:28:11,37.99,5,11,38.22_38.23_42.84_42.85_,10_10_1_2_,37.84_37.83_37.82_37.20_36.80_,10_10_10_4_5_
09:28:47,37.99,5,11,38.28_38.29_42.84_42.85_,10_10_1_2_,37.90_37.89_37.88_37.20_36.80_,10_10_10_4_5_
09:31:15,37.99,5,11,38.27_38.28_42.84_42.85_,10_10_1_2_,37.89_37.88_37.87_37.20_36.80_,10_10_10_4_5_
09:31:56,37.99,5,11,38.28_38.29_42.84_42.85_,10_10_1_2_,37.90_37.89_37.88_37.20_36.80_,10_10_10_4_5_
09:32:42,37.99,5,11,38.27_38.28_42.84_42.85_,10_10_1_2_,37.89_37.88_37.87_37.20_36.80_,10_10_10_4_5_
09:32:47,37.99,5,11,38.28_38.29_42.84_42.85_,10_10_1_2_,37.90_37.89_37.88_37.20_36.80_,10_10_10_4_5_
09:33:44,37.99,5,11,38.28_38.29_42.84_42.85_,10_10_1_2_,37.89_37.88_37.87_37.20_36.80_,10_10_10_4_5_
09:33:54,37.99,5,11,38.27_38.28_42.84_42.85_,10_10_1_2_,37.89_37.88_37.87_37.20_36.80_,10_10_10_4_5_
09:33:59,37.99,5,11,38.28_38.29_42.84_42.85_,10_10_1_2_,37.90_37.89_37.88_37.20_36.80_,10_10_10_4_5_
09:34:45,37.99,5,11,38.28_38.29_42.84_42.85_,10_10_1_2_,37.90_37.89_37.88_37.20_36.80_,10_10_10_4_5_
09:34:55,37.99,5,11,38.28_38.29_42.84_42.85_,10_10_1_2_,37.89_37.88_37.87_37.20_36.80_,10_10_10_4_5_
09:35:31,37.99,5,11,38.20_38.21_42.84_42.85_,10_10_1_2_,37.82_37.81_37.80_37.20_36.80_,10_10_10_4_5_
09:35:57,37.99,5,11,38.26_38.27_42.84_42.85_,10_10_1_2_,37.87_37.86_37.85_37.20_36.80_,10_10_10_4_5_
09:36:07,37.99,5,11,38.26_38.27_42.84_42.85_,10_10_1_2_,37.88_37.87_37.86_37.20_36.80_,10_10_10_4_5_
09:36:12,37.99,5,11,38.25_38.26_42.84_42.85_,10_10_1_2_,37.87_37.86_37.85_37.20_36.80_,10_10_10_4_5_
09:36:17,37.99,5,11,38.26_38.27_42.84_42.85_,10_10_1_2_,37.87_37.86_37.85_37.20_36.80_,10_10_10_4_5_
09:36:38,37.99,5,11,38.26_38.27_42.84_42.85_,10_10_1_2_,37.88_37.87_37.86_37.20_36.80_,10_10_10_4_5_
09:39:47,37.99,5,11,38.25_38.26_42.84_42.85_,10_10_1_2_,37.86_37.85_37.84_37.20_36.80_,10_10_10_4_5_
09:39:52,37.99,5,11,38.24_38.25_42.84_42.85_,10_10_1_2_,37.86_37.85_37.84_37.20_36.80_,10_10_10_4_5_
09:39:58,37.99,5,11,38.25_38.26_42.84_42.85_,10_10_1_2_,37.87_37.86_37.85_37.20_36.80_,10_10_10_4_5_
09:40:08,37.99,5,11,38.17_38.18_42.84_42.85_,10_10_1_2_,37.79_37.78_37.77_37.20_36.80_,10_10_10_4_5_
09:40:13,37.99,5,11,38.18_38.19_42.84_42.85_,10_10_1_2_,37.80_37.79_37.78_37.20_36.80_,10_10_10_4_5_
09:40:59,37.99,5,11,38.24_38.25_42.84_42.85_,10_10_1_2_,37.86_37.85_37.84_37.20_36.80_,10_10_10_4_5_
09:41:19,37.99,5,11,38.17_38.18_42.84_42.85_,10_10_1_2_,37.79_37.78_37.77_37.20_36.80_,10_10_10_4_5_
