09:35:12,31.19,1,1,31.23_31.29_,1_80_,30.96_30.93_,20_1_
09:35:23,31.19,1,1,31.22_31.28_,1_80_,30.96_30.92_,20_1_
09:35:43,31.19,1,1,31.23_,1_,30.93_,1_
09:35:53,31.19,1,1,31.23_,1_,30.93_,1_
09:35:59,31.19,1,1,31.22_,1_,30.92_,1_
09:36:40,31.19,1,1,31.21_,1_,30.91_,1_
09:38:38,31.19,1,1,31.25_31.32_,1_80_,30.99_30.95_,20_1_
09:38:48,31.19,1,1,31.25_,1_,30.98_30.95_,20_1_
09:39:39,31.19,1,1,31.24_31.30_,1_80_,30.98_30.94_,20_1_
09:40:30,31.19,1,1,31.24_,1_,30.97_30.94_,20_1_
09:42:23,31.19,1,1,31.24_31.30_,1_80_,30.98_30.94_,20_1_
09:42:49,31.19,1,1,31.23_31.30_,1_80_,30.98_30.93_,20_1_
09:43:09,31.19,1,1,31.26_31.32_,1_80_,31.00_30.96_,20_1_
09:45:43,31.19,1,1,31.25_31.32_,1_80_,31.00_30.95_,20_1_
09:47:10,31.19,1,1,31.26_31.32_,1_80_,31.00_30.95_,20_1_
09:47:15,31.19,1,1,31.24_31.32_,1_80_,30.94_,1_
09:47:20,31.19,1,1,31.24_31.30_,1_80_,30.98_30.94_,20_1_
09:47:25,31.19,1,1,31.24_,1_,30.98_30.94_,20_1_
09:47:31,31.19,1,1,31.26_31.32_,1_80_,31.00_30.96_,20_1_
09:47:46,31.19,1,1,31.25_,1_,31.00_30.95_,20_1_
09:50:10,31.19,1,1,31.25_31.32_,1_80_,31.00_30.95_,20_1_
09:52:18,31.25,1,2,31.30_31.33_,1_80_,31.01_31.00_,20_1_
09:52:38,31.25,1,2,31.29_31.33_,1_80_,31.00_30.99_,20_1_
09:52:59,31.25,1,2,31.29_31.32_,1_80_,31.00_30.99_,20_1_
09:53:30,31.25,1,2,31.28_31.31_,1_80_,30.99_30.98_,20_1_
09:54:46,31.25,1,2,31.29_31.31_,1_80_,30.99_30.98_,20_1_
09:55:58,31.25,1,2,31.28_31.33_,1_80_,31.00_30.98_,20_1_
09:57:10,31.25,1,2,31.28_31.31_,1_80_,30.99_30.98_,20_1_
09:58:32,31.25,1,2,31.27_,1_,30.98_30.97_,20_1_
09:58:47,31.25,1,2,31.27_31.30_,1_80_,30.98_30.97_,20_1_
09:58:53,31.25,1,2,31.28_,1_,30.98_,21_
09:58:58,31.25,1,2,31.30_,1_,31.00_30.99_,1_20_
09:59:03,31.25,1,2,31.27_31.32_,1_80_,30.97_,1_
09:59:08,31.25,1,2,31.28_31.31_,1_80_,30.99_30.98_,20_1_
09:59:23,31.25,1,2,31.29_31.31_,1_80_,30.99_,21_
09:59:34,31.25,1,2,31.29_31.32_,1_80_,31.00_30.99_,20_1_
09:59:39,31.25,1,2,31.28_31.32_,1_80_,30.99_30.98_,20_1_
09:59:44,31.25,1,2,31.30_31.33_,1_80_,31.01_31.00_,20_1_
10:00:20,31.25,1,2,31.27_31.30_,1_80_,30.97_30.96_,20_1_
10:00:35,31.25,1,2,31.29_31.32_,1_80_,31.00_30.99_,20_1_
10:03:45,31.28,1,3,31.31_,81_,31.01_30.99_,1_20_
10:03:50,31.28,1,3,31.34_,1_,31.04_31.01_,1_20_
10:03:55,31.28,1,3,31.34_,81_,31.04_,1_
10:04:00,31.28,1,3,31.30_,1_,31.00_30.98_,1_20_
10:04:05,31.28,1,3,31.33_31.34_,1_80_,31.03_31.01_,1_20_
10:04:10,31.28,1,3,31.32_31.34_,1_80_,31.02_,1_
10:06:54,31.33,1,4,31.33_31.34_,1_80_,31.03_31.02_,1_20_
10:07:04,31.33,1,4,31.33_,1_,31.03_31.01_,1_20_
10:07:15,31.33,1,4,31.34_,81_,31.04_31.02_,1_20_
10:07:20,31.33,1,4,31.33_31.34_,1_80_,31.03_31.02_,1_20_
10:09:43,31.33,1,4,31.33_,1_,31.03_31.01_,1_20_
10:09:49,31.33,1,4,31.33_31.34_,1_80_,31.03_31.01_,1_20_
10:09:54,31.33,1,4,31.33_,1_,31.03_31.01_,1_20_
10:10:40,31.33,1,4,31.33_,81_,31.03_31.01_,1_20_
10:11:52,31.33,1,4,31.33_,81_,31.03_31.01_,1_20_
10:13:54,31.33,1,4,31.34_,81_,31.04_,1_
10:14:05,31.33,1,4,31.33_,80_,31.03_31.01_,1_20_
10:14:10,31.33,1,4,31.33_,81_,31.03_31.01_,1_20_
10:14:20,31.33,1,4,31.34_,81_,31.04_31.01_,1_20_
10:14:25,31.33,1,4,31.35_,81_,31.05_31.03_,1_20_
10:14:30,31.33,1,4,31.32_31.33_,1_80_,31.02_31.00_,1_20_
10:17:35,31.33,1,4,31.34_,80_,31.03_31.01_,1_20_
10:21:25,31.33,1,4,31.34_31.35_,1_80_,31.04_31.03_,1_20_
10:21:30,31.33,1,4,31.33_31.35_,1_80_,31.03_,1_
10:21:36,31.33,1,4,31.34_,1_,31.04_31.01_,1_20_
10:21:41,31.33,1,4,31.36_,81_,31.06_31.03_,1_20_
10:21:56,31.33,1,4,31.33_,1_,31.03_31.01_,1_20_
10:22:01,31.33,1,4,31.34_,1_,31.03_31.01_,1_20_
10:22:06,31.33,1,4,31.33_,81_,31.03_31.01_,1_20_
10:22:17,31.33,1,4,31.33_31.34_,1_80_,31.03_31.01_,1_20_
10:22:22,31.33,1,4,31.34_,81_,31.04_31.02_,1_20_
10:24:24,31.33,1,4,31.39_,81_,31.08_31.07_,1_20_
10:24:29,31.33,1,4,31.38_31.39_,1_80_,31.08_31.07_,1_20_
10:24:40,31.33,1,4,31.39_,81_,31.09_31.07_,1_20_
10:24:45,31.33,1,4,31.39_31.40_,80_1_,31.10_31.07_,1_20_
10:25:36,31.33,1,4,31.41_,81_,31.10_31.08_,1_20_
10:25:41,31.33,1,4,31.40_31.41_,1_80_,31.10_31.08_,1_20_
10:25:46,31.33,1,4,31.39_31.40_,1_80_,31.09_31.07_,1_20_
10:28:56,31.33,1,4,31.39_31.40_,80_1_,31.10_31.07_,1_20_
