09:02:45,22.01,2,2,22.10_23.00_,1_102_,22.01_21.50_20.15_20.00_,3_1_1_2_
09:03:52,22.01,2,2,22.10_23.00_,1_102_,22.02_22.01_21.55_21.50_20.15_,2_2_1_1_1_
09:06:15,22.01,2,2,22.10_23.00_,1_102_,22.02_21.55_21.50_20.15_20.00_,2_1_1_1_2_
09:09:56,22.01,2,2,22.10_22.23_23.00_,1_8_102_,22.09_22.02_21.55_21.50_20.15_,8_2_1_1_1_
09:13:46,22.01,2,2,22.10_22.23_23.00_,1_8_102_,22.09_22.02_21.57_21.55_21.50_,8_2_15_1_1_
09:16:51,22.01,2,2,22.10_22.22_22.23_23.00_,1_1_8_102_,22.09_22.02_21.57_21.55_21.50_,8_2_15_1_1_
09:24:01,22.09,1,3,22.10_22.22_22.23_23.00_,2_1_8_102_,22.09_22.02_21.57_21.55_21.50_,7_2_15_1_1_
09:29:19,22.09,1,3,22.10_22.20_22.22_23.00_,2_8_1_102_,22.06_22.02_21.57_21.55_21.50_,8_2_15_1_1_
09:36:34,22.09,1,3,22.09_22.10_22.17_22.22_23.00_,2_2_8_1_102_,22.03_22.02_21.57_21.55_21.50_,8_1_16_1_1_
09:40:30,22.09,1,3,22.05_22.09_22.10_22.17_22.22_,1_2_2_8_1_,22.03_22.02_21.57_21.55_21.50_,8_1_16_1_1_
09:43:15,22.09,1,3,22.05_22.09_22.10_22.17_22.22_,1_2_2_8_1_,22.03_22.02_21.57_21.55_21.50_,8_1_16_1_1_
09:46:39,22.09,1,3,22.05_22.09_22.10_22.17_22.30_,1_2_2_8_100_,22.03_22.02_21.57_21.55_21.50_,8_1_16_1_1_
09:51:01,22.09,1,3,22.05_22.09_22.10_22.17_22.32_,1_2_2_8_100_,22.03_22.02_21.57_21.55_21.50_,8_1_16_1_1_
09:54:21,22.09,1,3,22.05_22.09_22.10_22.17_22.32_,1_2_2_8_100_,22.03_22.02_21.60_21.57_21.55_,8_1_2_15_1_
09:57:15,22.03,1,4,22.05_22.09_22.10_22.17_22.32_,1_2_2_8_100_,22.03_22.02_21.60_21.57_21.55_,7_1_2_15_1_
10:06:34,22.03,1,4,22.05_22.09_22.10_22.17_22.32_,1_2_2_8_100_,22.03_22.02_21.60_21.57_21.55_,7_1_2_15_1_
10:06:39,22.03,1,4,22.05_22.09_22.10_22.17_22.32_,1_2_2_8_100_,22.03_22.02_21.60_21.57_21.55_,7_2_1_15_1_
10:07:30,22.03,1,4,22.05_22.09_22.10_22.17_22.32_,1_2_2_8_100_,22.03_22.02_21.60_21.57_21.55_,7_2_1_15_1_
