09:09:11,29.79,13,13,29.79_29.97_30.40_30.50_30.54_,18_8_1_1_1_,28.52_27.62_27.17_,1_2_1_
09:09:16,29.79,8,21,29.79_30.01_30.40_30.50_30.54_,10_8_101_1_1_,28.52_27.62_27.17_,2_2_1_
09:09:57,29.79,8,21,29.79_30.01_30.40_30.50_30.54_,10_8_101_1_1_,28.52_27.62_27.17_,4_2_1_
09:16:22,29.79,2,31,29.97_30.40_30.50_30.54_30.80_,8_101_1_1_5_,29.79_28.52_27.62_27.17_,6_4_2_1_
09:17:28,29.79,2,31,29.97_30.40_30.50_30.54_30.80_,8_101_1_1_5_,29.79_28.52_27.62_27.17_,7_3_2_1_
09:18:14,29.79,2,31,29.97_30.40_30.50_30.54_30.80_,8_101_1_1_5_,29.79_28.52_27.62_27.17_,6_4_2_1_
09:20:58,29.79,2,31,29.97_30.40_30.50_30.54_30.80_,8_101_1_1_5_,29.79_28.79_28.52_27.62_27.17_,6_16_3_2_1_
09:23:21,29.79,2,31,29.97_30.40_30.50_30.54_30.80_,108_1_1_1_5_,29.79_28.79_28.52_27.62_27.17_,6_16_3_2_1_
09:23:47,29.79,2,31,29.93_29.97_30.40_30.50_30.54_,8_100_1_1_1_,29.75_28.79_28.52_27.62_27.17_,8_16_3_2_1_
09:24:13,29.79,2,31,29.93_30.40_30.50_30.54_30.80_,8_1_1_1_5_,29.75_28.79_28.52_27.62_27.17_,8_16_3_2_1_
09:24:18,29.79,2,31,29.93_30.40_30.50_30.54_30.80_,8_101_1_1_5_,29.75_28.79_28.52_27.62_27.17_,8_16_3_2_1_
09:25:34,29.79,2,31,29.93_30.40_30.50_30.54_30.80_,108_1_1_1_5_,29.75_28.79_28.52_27.62_27.17_,8_16_3_2_1_
09:25:45,29.79,2,31,29.89_29.93_30.40_30.50_30.54_,8_100_1_1_1_,29.71_28.79_28.52_27.62_27.17_,8_16_3_2_1_
09:26:26,29.79,2,31,29.85_29.93_30.40_30.50_30.54_,8_100_1_1_1_,29.67_28.79_28.52_27.62_27.17_,8_16_3_2_1_
09:30:11,29.79,2,31,29.82_29.93_30.40_30.50_30.54_,8_100_1_1_1_,29.64_28.79_28.52_27.62_27.17_,8_16_3_2_1_
09:33:05,29.79,2,31,29.85_29.93_30.40_30.50_30.54_,8_100_1_1_1_,29.67_28.79_28.52_27.62_27.17_,8_16_3_2_1_
09:34:12,29.79,2,31,29.85_30.40_30.50_30.54_30.80_,8_101_1_1_5_,29.67_28.79_28.52_27.62_27.17_,9_15_3_2_1_
09:34:27,29.79,2,31,29.85_30.40_30.50_30.54_30.80_,8_101_1_1_5_,29.67_28.79_28.52_27.62_27.17_,11_15_3_2_1_
09:34:42,29.79,2,31,29.85_30.40_30.50_30.54_30.80_,8_101_1_1_5_,29.67_28.79_28.52_27.62_27.17_,10_16_3_2_1_
09:34:53,29.79,2,31,29.85_30.40_30.50_30.54_30.80_,8_101_1_1_5_,29.67_28.79_28.52_27.62_27.17_,8_16_1_2_1_
09:35:03,29.85,6,37,29.85_30.40_30.50_30.54_30.80_,2_101_1_1_5_,29.67_28.79_28.52_27.62_27.17_,8_16_1_2_1_
09:36:20,29.85,6,37,29.85_30.23_30.40_30.50_30.54_,2_4_101_1_1_,29.67_28.79_28.52_27.62_27.17_,8_16_1_2_1_
09:37:42,29.85,6,37,29.85_30.23_30.40_30.50_30.54_,2_104_1_1_1_,29.67_28.79_28.52_27.62_27.17_,8_16_1_2_1_
09:39:24,29.85,6,37,29.85_30.23_30.40_30.50_30.54_,2_104_1_1_1_,29.77_29.67_28.79_28.52_27.62_,1_8_16_1_2_
09:46:40,29.85,6,37,29.88_30.23_30.40_30.50_30.54_,8_104_1_1_1_,29.77_29.70_28.79_28.52_27.62_,1_8_16_1_2_
09:47:36,29.85,6,37,29.88_30.23_30.40_30.50_30.54_,8_104_1_2_1_,29.77_29.70_28.79_28.52_27.62_,1_8_16_1_2_
09:48:02,29.85,6,37,29.88_30.23_30.40_30.50_30.54_,8_104_1_2_1_,29.77_29.70_28.79_28.52_27.62_,1_9_15_1_2_
09:48:17,29.85,6,37,29.88_30.23_30.40_30.50_30.54_,8_104_1_2_1_,29.77_29.70_28.79_28.52_27.62_,1_8_16_1_2_
09:48:48,29.85,6,37,29.88_30.23_30.40_30.50_30.54_,8_104_1_2_1_,29.77_29.70_28.79_28.52_27.62_,1_9_15_1_2_
09:51:21,29.85,6,37,29.88_30.23_30.40_30.50_30.54_,8_104_1_2_1_,29.77_29.70_28.79_28.52_27.62_,1_9_15_1_2_
09:52:07,29.88,1,38,29.88_30.23_30.40_30.50_30.54_,7_104_1_2_1_,29.70_28.79_28.52_27.62_27.17_,9_15_1_2_1_
09:54:05,29.88,1,38,29.92_30.23_30.40_30.50_30.54_,8_104_1_2_1_,29.74_29.70_28.79_28.52_27.62_,8_1_15_1_2_
09:56:29,29.88,1,38,29.92_30.23_30.40_30.50_30.54_,8_104_1_2_1_,29.74_28.79_28.52_27.62_27.17_,8_16_1_2_1_
09:56:49,29.88,1,38,29.92_30.23_30.40_30.50_30.54_,8_104_1_2_1_,29.74_28.79_28.52_27.62_27.17_,9_15_1_2_1_
09:56:55,29.88,1,38,29.92_30.23_30.40_30.50_30.54_,8_104_1_2_1_,29.74_28.79_28.52_27.62_27.17_,8_16_1_2_1_
10:03:08,29.88,1,38,29.92_30.23_30.40_30.50_30.54_,8_104_1_2_1_,29.74_28.79_28.52_27.62_27.17_,9_15_1_2_1_
10:03:24,29.88,1,38,29.92_30.23_30.40_30.50_30.54_,8_104_1_2_1_,29.74_28.79_28.52_27.62_27.17_,8_16_1_2_1_
10:03:44,29.88,1,38,29.92_30.23_30.40_30.50_30.54_,8_104_1_2_1_,29.74_28.79_28.52_27.62_27.17_,9_15_1_2_1_
10:03:50,29.88,1,38,29.92_30.23_30.40_30.50_30.54_,8_104_1_2_1_,29.74_28.79_28.52_27.62_27.17_,8_16_1_2_1_
10:04:20,29.88,1,38,29.92_30.23_30.40_30.50_30.54_,8_104_1_2_1_,29.74_28.79_28.52_27.62_27.17_,8_16_1_2_1_
10:04:30,29.88,1,38,29.92_30.23_30.40_30.50_30.54_,8_104_1_2_1_,29.74_28.79_28.52_27.62_27.17_,9_15_1_2_1_
10:04:36,29.88,1,38,29.92_30.23_30.40_30.50_30.54_,8_104_1_2_1_,29.74_28.79_28.52_27.62_27.17_,8_16_1_2_1_
10:31:09,29.88,1,38,29.88_30.23_30.40_30.50_30.54_,8_104_1_2_1_,29.70_28.79_28.52_27.62_27.17_,8_16_1_2_1_
10:34:33,29.88,1,38,29.84_30.23_30.40_30.50_30.54_,8_104_1_2_1_,29.66_28.79_28.52_27.62_27.17_,8_16_1_2_1_
10:37:33,29.88,1,38,29.81_30.23_30.40_30.50_30.54_,8_104_1_2_1_,29.63_28.79_28.52_27.62_27.17_,8_16_1_2_1_
10:39:25,29.88,1,38,29.81_30.23_30.40_30.50_30.54_,8_105_1_2_1_,29.63_28.79_28.52_27.62_27.17_,8_16_1_2_1_
10:41:08,29.63,1,39,29.81_30.23_30.40_30.50_30.54_,8_105_1_2_1_,29.63_28.79_28.52_27.62_27.17_,7_16_1_2_1_
10:46:30,29.63,1,39,29.81_30.23_30.40_30.50_30.54_,8_105_1_2_1_,29.63_28.79_28.52_27.62_27.17_,8_15_1_2_1_
10:46:41,29.63,1,39,29.81_30.23_30.40_30.50_30.54_,8_105_1_2_1_,29.63_28.79_28.52_27.62_27.17_,7_16_1_2_1_
10:54:22,29.63,1,39,29.81_30.23_30.40_30.50_30.54_,8_105_1_2_1_,29.63_28.79_28.52_27.62_27.17_,8_15_1_2_1_
10:54:27,29.63,1,39,29.81_30.23_30.40_30.50_30.54_,8_105_1_2_1_,29.63_28.79_28.52_27.62_27.17_,7_16_1_2_1_
10:54:37,29.63,1,39,29.81_30.23_30.40_30.50_30.54_,8_105_1_2_1_,29.63_28.79_28.52_27.62_27.17_,7_15_1_2_1_
10:54:42,29.63,1,39,29.81_30.23_30.40_30.50_30.54_,8_105_1_2_1_,29.63_28.79_28.52_27.62_27.17_,7_16_1_2_1_
10:54:57,29.63,1,39,29.81_30.23_30.40_30.50_30.54_,8_105_1_2_1_,29.63_28.79_28.52_27.62_27.17_,8_15_1_2_1_
10:55:02,29.63,1,39,29.81_30.23_30.40_30.50_30.54_,8_105_1_2_1_,29.63_28.79_28.52_27.62_27.17_,7_16_1_2_1_
10:56:04,29.63,1,39,29.81_30.23_30.40_30.50_30.54_,8_105_1_2_1_,29.63_28.79_28.52_27.62_27.17_,8_15_1_2_1_
10:56:09,29.63,1,39,29.81_30.23_30.40_30.50_30.54_,8_105_1_2_1_,29.63_28.79_28.52_27.62_27.17_,7_15_1_2_1_
10:56:14,29.63,1,39,29.81_30.23_30.40_30.50_30.54_,8_105_1_2_1_,29.63_28.79_28.52_27.62_27.17_,7_16_1_2_1_
10:56:20,29.63,1,39,29.81_30.23_30.40_30.50_30.54_,8_105_1_2_1_,29.63_28.79_28.52_27.62_27.17_,8_15_1_2_1_
10:56:35,29.63,1,39,29.81_30.23_30.40_30.50_30.54_,8_105_1_2_1_,29.63_28.79_28.52_27.62_27.17_,7_16_1_2_1_
10:56:40,29.63,1,39,29.81_30.23_30.40_30.50_30.54_,8_105_1_2_1_,29.63_28.80_28.79_28.52_27.62_,7_3_16_1_2_
10:56:45,29.63,1,39,29.81_30.23_30.40_30.50_30.54_,8_105_1_2_1_,29.63_28.80_28.79_28.52_27.62_,7_4_15_1_2_
10:57:21,29.63,1,39,29.81_30.23_30.40_30.50_30.54_,8_105_1_2_1_,29.63_28.80_28.79_28.52_27.62_,7_4_15_1_2_
10:59:50,29.63,1,39,29.81_30.23_30.40_30.50_30.54_,8_105_1_2_1_,29.64_29.63_28.80_28.79_28.52_,2_8_3_15_1_
11:00:05,29.63,1,39,29.81_30.23_30.40_30.50_30.54_,8_105_1_2_1_,29.64_29.63_28.80_28.79_28.52_,2_7_4_15_1_
11:01:01,29.63,1,39,29.81_30.23_30.40_30.50_30.54_,8_105_1_2_1_,29.64_29.63_28.80_28.79_28.52_,2_7_4_15_1_
11:02:49,29.63,1,39,29.81_30.23_30.40_30.50_30.54_,8_105_1_2_1_,29.64_29.63_28.80_28.79_28.52_,2_7_4_15_1_
11:14:31,29.63,1,39,29.78_30.23_30.40_30.50_30.54_,8_105_1_2_1_,29.64_29.60_28.80_28.79_28.52_,2_8_4_15_1_
11:24:35,29.78,1,41,29.78_30.23_30.40_30.50_30.54_,7_105_1_2_1_,29.64_29.60_28.80_28.79_28.52_,3_8_4_15_1_
11:25:21,29.78,1,41,29.78_30.23_30.40_30.50_30.54_,7_105_1_2_1_,29.64_29.60_28.80_28.79_28.52_,3_9_3_15_1_
11:28:31,29.78,1,41,29.78_30.23_30.40_30.50_30.54_,7_105_1_2_1_,29.64_29.60_28.80_28.79_28.52_,3_8_4_15_1_
11:32:01,29.78,1,41,29.78_30.23_30.40_30.50_30.54_,7_105_1_2_1_,29.64_29.60_28.80_28.79_28.52_,3_9_3_15_1_
11:38:30,29.78,1,41,29.78_30.23_30.40_30.50_30.54_,7_105_1_2_1_,29.64_29.60_28.80_28.79_28.52_,3_8_4_15_1_
11:38:36,29.78,1,41,29.78_30.23_30.40_30.50_30.54_,7_105_1_2_1_,29.64_29.60_28.80_28.79_28.52_,3_9_3_15_1_
11:41:04,29.78,1,41,29.78_30.23_30.40_30.50_30.54_,7_105_1_2_1_,29.64_29.60_28.80_28.79_28.52_,3_9_3_15_1_
11:41:19,29.78,1,41,29.78_30.23_30.40_30.50_30.54_,7_105_1_2_1_,29.64_29.60_28.80_28.79_28.52_,3_9_3_15_1_
11:42:52,29.78,1,41,29.78_30.23_30.40_30.50_30.54_,7_105_1_2_1_,29.64_29.60_28.80_28.79_28.52_,3_9_3_15_1_
11:43:17,29.78,1,41,29.78_30.23_30.40_30.50_30.54_,7_105_1_2_1_,29.64_29.60_28.80_28.79_28.52_,3_8_4_15_1_
11:46:17,29.78,1,41,29.78_30.23_30.40_30.50_30.54_,7_105_1_2_1_,29.64_29.60_28.80_28.79_28.52_,3_9_3_15_1_
11:48:35,29.78,1,41,29.78_30.23_30.40_30.50_30.54_,7_105_1_2_1_,29.64_29.60_28.80_28.79_28.52_,3_8_4_15_1_
11:48:40,29.78,1,41,29.78_30.23_30.40_30.50_30.54_,7_105_1_2_1_,29.64_29.60_28.80_28.79_28.52_,3_9_3_15_1_
11:54:54,29.78,1,41,29.80_29.81_30.23_30.40_30.50_,2_8_105_1_2_,29.64_29.63_28.80_28.79_28.52_,3_8_4_15_1_
11:59:05,29.78,1,41,29.80_29.81_30.23_30.40_30.50_,2_8_105_1_2_,29.64_29.63_28.80_28.79_28.52_,3_8_4_15_1_
12:00:11,29.78,1,41,29.80_29.81_30.23_30.40_30.50_,2_8_105_1_2_,29.64_29.63_28.80_28.79_28.52_,3_8_4_15_1_
12:03:21,29.78,1,41,29.80_29.81_30.23_30.40_30.50_,2_8_105_1_2_,29.64_29.63_28.80_28.79_28.52_,3_8_4_15_1_
12:09:20,29.78,1,41,29.80_29.81_30.23_30.40_30.50_,2_8_105_1_2_,29.64_29.63_28.80_28.79_28.52_,3_8_4_15_1_
