09:12:24,31.31,1,1,31.48_31.49_31.50_31.88_32.00_,4_22_4_1_3_,31.29_28.52_,20_1_
09:12:34,31.31,1,1,31.48_31.49_31.50_31.88_32.00_,4_22_4_101_3_,31.29_28.52_,20_2_
09:18:23,31.31,1,1,31.48_31.49_31.50_31.88_32.00_,4_22_4_101_3_,31.30_31.29_28.52_,1_20_2_
09:19:50,31.31,1,1,31.48_31.49_31.50_31.88_32.00_,4_22_4_101_3_,31.30_31.29_28.52_28.18_,1_20_2_3_
09:20:31,31.31,1,1,31.48_31.49_31.50_31.88_32.00_,4_22_4_101_3_,31.30_31.29_28.52_28.18_,1_20_2_3_
09:20:41,31.31,1,1,31.48_31.49_31.50_31.88_32.00_,4_22_104_1_3_,31.30_31.29_28.52_28.18_,1_20_2_3_
09:21:01,31.31,1,1,31.48_31.49_31.50_31.88_32.00_,4_122_4_1_3_,31.30_31.29_28.52_28.18_,1_20_2_3_
09:22:28,31.31,1,1,31.40_31.45_31.48_31.49_31.50_,1_20_4_102_4_,31.30_31.25_28.52_28.18_,1_20_2_3_
09:23:50,31.31,1,1,31.40_31.45_31.48_31.49_31.50_,1_20_4_2_4_,31.30_31.25_28.52_28.18_,1_20_2_3_
09:25:28,31.30,1,2,31.40_31.45_31.48_31.49_31.50_,1_20_4_2_4_,31.25_28.52_28.18_,20_2_3_
09:27:46,31.30,1,2,31.40_31.45_31.48_31.49_31.50_,1_20_4_102_4_,31.25_28.52_28.18_,20_2_3_
09:28:12,31.30,1,2,31.40_31.45_31.48_31.49_31.50_,1_20_4_2_4_,31.25_28.52_28.18_,20_2_3_
09:32:12,31.30,1,2,31.40_31.45_31.48_31.49_31.50_,1_20_104_2_4_,31.25_28.52_28.18_,20_2_3_
09:32:23,31.30,1,2,31.40_31.45_31.48_31.49_31.50_,1_20_4_2_4_,31.25_28.52_28.18_,20_2_3_
09:34:10,31.30,1,2,31.40_31.45_31.48_31.49_31.50_,1_20_4_2_4_,31.25_28.52_28.18_,20_2_3_
09:37:25,31.30,1,2,31.40_31.45_31.48_31.49_31.50_,1_20_4_2_4_,31.25_28.52_28.18_,20_2_3_
09:39:12,31.30,1,2,31.30_31.40_31.45_31.48_31.49_,5_1_20_4_2_,31.25_28.52_28.18_,20_2_3_
09:40:14,31.30,1,2,31.30_31.40_31.45_31.48_31.49_,5_1_20_104_2_,31.25_28.52_28.18_,20_2_3_
09:40:24,31.30,1,2,31.30_31.40_31.45_31.48_31.49_,5_1_20_4_2_,31.25_28.52_28.18_,20_2_3_
09:41:10,31.30,1,4,31.30_31.40_31.45_31.48_31.49_,3_1_20_4_2_,31.28_31.25_28.52_28.18_,2_20_2_3_
09:43:33,31.30,1,4,31.30_31.40_31.45_31.48_31.49_,9_1_20_4_2_,31.28_31.25_28.52_28.18_,2_20_2_3_
09:43:54,31.30,1,4,31.30_31.40_31.45_31.48_31.49_,9_7_20_4_2_,31.28_31.25_28.52_28.18_,2_20_2_3_
09:44:35,31.30,1,4,31.30_31.40_31.45_31.48_31.49_,9_7_20_4_2_,31.28_31.25_28.52_28.18_,2_20_2_3_
09:48:15,31.30,1,4,31.30_31.40_31.45_31.48_31.49_,9_7_20_104_2_,31.28_31.25_28.53_28.52_28.19_,2_20_4_1_3_
09:50:23,31.30,1,4,31.30_31.40_31.45_31.48_31.49_,9_7_20_104_2_,31.28_31.25_28.53_28.52_28.19_,2_20_4_1_3_
09:52:05,31.30,1,4,31.30_31.40_31.45_31.48_31.49_,9_7_20_104_2_,31.28_31.25_28.53_28.52_28.19_,2_20_4_1_3_
09:54:13,31.30,1,4,31.30_31.40_31.41_31.48_31.49_,9_7_20_104_2_,31.28_31.21_28.53_28.52_28.19_,2_20_4_1_3_
09:57:13,31.30,1,5,31.30_31.40_31.41_31.48_31.49_,8_7_20_104_2_,31.28_31.21_28.53_28.52_28.19_,1_20_4_1_3_
10:01:34,31.30,1,5,31.30_31.40_31.41_31.48_31.49_,8_7_20_104_2_,31.21_28.53_28.52_28.19_28.18_,20_4_1_3_3_
10:01:39,31.30,1,6,31.30_31.40_31.41_31.48_31.49_,7_7_20_104_2_,31.21_28.53_28.52_28.19_28.18_,20_4_1_3_3_
10:04:44,31.30,1,6,31.30_31.40_31.41_31.48_31.49_,7_7_20_104_2_,31.21_28.53_28.52_28.19_28.18_,20_4_1_3_3_
10:06:57,31.30,1,6,31.30_31.40_31.41_31.48_31.49_,7_7_20_104_2_,31.21_28.53_28.52_28.19_28.18_,20_4_1_3_3_
