09:37:41,40.03,3,3,40.06_40.08_40.09_40.18_,1_11_10_100_,39.80_39.79_39.78_39.69_,11_10_10_2_
09:39:18,40.03,3,3,40.06_40.07_40.08_40.18_,1_11_10_100_,39.79_39.78_39.77_39.71_39.67_,11_10_10_1_1_
09:39:38,40.03,3,3,40.06_40.07_40.08_40.18_,1_11_10_100_,39.79_39.78_39.77_39.71_39.67_,11_10_10_1_1_
09:39:49,40.03,3,3,40.06_40.07_40.18_,11_11_100_,39.79_39.78_39.77_39.76_39.71_,1_10_10_10_1_
09:40:19,40.03,3,3,40.07_40.08_40.18_,11_11_100_,39.79_39.78_39.77_39.71_39.68_,11_10_10_1_1_
09:40:29,40.03,3,3,40.06_40.07_40.08_40.18_,11_10_1_100_,39.78_39.77_39.76_39.71_39.66_,11_10_10_1_1_
09:41:10,40.03,3,3,40.07_40.08_40.09_40.18_,1_11_10_100_,39.80_39.79_39.78_39.71_39.68_,10_11_10_1_1_
09:43:39,40.03,3,3,40.08_40.09_40.10_40.19_,11_10_1_100_,39.81_39.80_39.79_39.78_39.73_,1_10_10_10_1_
09:43:44,40.03,3,3,40.09_40.10_40.19_,11_11_100_,39.81_39.80_39.79_39.73_39.70_,11_10_10_1_1_
09:43:49,40.03,3,3,40.08_40.09_40.10_40.19_,11_10_1_100_,39.80_39.79_39.78_39.73_39.69_,11_10_10_1_1_
09:43:59,40.03,3,3,40.07_40.08_40.10_40.19_,11_10_1_100_,39.80_39.79_39.78_39.77_39.73_,1_10_10_10_1_
09:44:04,40.03,3,3,40.08_40.09_40.10_40.19_,10_11_1_100_,39.80_39.79_39.78_39.73_39.70_,11_10_10_1_1_
09:44:25,40.03,3,3,40.08_40.09_40.10_40.19_,11_10_1_100_,39.80_39.79_39.78_39.73_39.69_,11_10_10_1_1_
09:48:36,40.03,3,3,40.09_40.10_40.21_,11_11_100_,39.81_39.80_39.79_39.74_39.69_,11_10_10_1_1_
09:50:29,40.03,3,3,40.08_40.09_40.10_40.21_,11_10_1_100_,39.80_39.79_39.78_39.74_39.68_,11_10_10_1_1_
