09:00:12,9.02,2,4,9.03_9.04_9.05_9.06_9.07_,792_649_415_355_402_,9.02_9.01_9.00_8.99_8.98_,7_402_1087_1072_1092_
09:00:22,9.02,7,11,9.02_9.03_9.04_9.05_9.06_,173_742_599_366_403_,9.01_9.00_8.99_8.98_8.97_,102_787_1072_1092_1057_
09:00:27,9.02,7,11,9.02_9.03_9.04_9.05_9.06_,273_692_599_366_403_,9.01_9.00_8.99_8.98_8.97_,102_787_1072_1092_1057_
09:00:32,9.02,7,11,9.02_9.03_9.04_9.05_9.06_,772_692_599_366_403_,9.01_9.00_8.99_8.98_8.97_,2_411_1072_1092_1057_
09:00:48,9.01,2,13,9.01_9.02_9.03_9.04_9.05_,41_772_649_599_366_,9.00_8.99_8.98_8.97_8.96_,411_1272_1381_1057_1077_
09:00:58,9.01,41,54,9.02_9.03_9.04_9.05_9.06_,742_649_599_366_403_,9.01_9.00_8.99_8.98_8.97_,100_763_1272_1381_1057_
09:01:03,9.01,41,54,9.02_9.03_9.04_9.05_9.06_,742_649_599_366_403_,9.00_8.99_8.98_8.97_8.96_,411_1272_1381_1057_1068_
09:01:18,9.01,41,54,9.02_9.03_9.04_9.05_9.06_,742_649_599_366_403_,9.00_8.99_8.98_8.97_8.96_,415_1272_1381_1057_1068_
09:01:24,9.01,41,54,9.02_9.03_9.04_9.05_9.06_,742_649_599_368_403_,9.00_8.99_8.98_8.97_8.96_,415_1272_1381_1057_1068_
09:01:39,9.01,41,54,9.02_9.03_9.04_9.05_9.06_,742_649_599_368_403_,9.00_8.99_8.98_8.97_8.96_,415_1072_1292_1346_1068_
09:01:44,9.01,41,54,9.01_9.02_9.03_9.04_9.05_,30_742_649_599_368_,9.00_8.99_8.98_8.97_8.96_,415_1072_1292_1346_1068_
09:02:04,9.01,41,54,9.01_9.02_9.03_9.04_9.05_,180_699_599_550_416_,9.00_8.99_8.98_8.97_8.96_,115_1072_1292_1346_1068_
09:02:25,9.01,41,54,9.01_9.02_9.03_9.04_9.05_,649_699_599_550_416_,9.00_8.99_8.98_8.97_8.96_,115_772_1292_1346_1068_
09:02:46,9.00,30,84,9.01_9.02_9.03_9.04_9.05_,649_599_549_500_366_,9.00_8.99_8.98_8.97_8.96_,4_301_838_893_600_
09:03:01,9.00,30,84,9.01_9.02_9.03_9.04_9.05_,649_599_549_500_366_,9.00_8.99_8.98_8.97_8.96_,4_301_839_893_600_
09:03:21,9.00,30,84,9.01_9.02_9.03_9.04_9.05_,749_649_599_550_416_,9.00_8.99_8.98_8.97_8.96_,8_401_1292_1361_1066_
09:03:27,9.00,30,84,9.01_9.02_9.03_9.04_9.05_,759_649_599_550_416_,9.00_8.99_8.98_8.97_8.96_,8_401_1292_1361_1066_
