09:00:20,42.16,14,415,42.16_42.17_42.18_42.19_42.20_,2_6_8_8_41_,42.15_42.14_42.13_42.12_42.11_,2_7_10_42_35_
09:00:41,42.17,20,462,42.18_42.19_42.20_42.21_42.22_,17_8_41_53_65_,42.17_42.16_42.15_42.14_42.13_,7_13_27_5_15_
09:01:16,42.20,20,592,42.21_42.22_42.23_42.24_42.25_,57_66_54_89_137_,42.20_42.19_42.18_42.17_42.16_,5_38_32_5_13_
09:01:27,42.20,3,597,42.21_42.22_42.23_42.24_42.25_,59_66_54_89_183_,42.20_42.19_42.18_42.17_42.16_,2_44_89_63_70_
09:01:37,42.20,19,621,42.20_42.21_42.22_42.23_42.24_,103_61_66_104_89_,42.19_42.18_42.17_42.16_42.15_,49_88_59_65_27_
09:01:47,42.19,65,704,42.19_42.20_42.21_42.22_42.23_,62_95_61_66_104_,42.18_42.17_42.16_42.15_42.13_,32_64_68_28_16_
09:02:08,42.19,20,760,42.19_42.20_42.21_42.22_42.23_,54_126_11_66_104_,42.18_42.17_42.16_42.15_42.13_,81_61_12_29_16_
09:02:18,42.18,15,777,42.19_42.20_42.21_42.22_42.23_,55_127_61_66_104_,42.18_42.17_42.16_42.15_42.13_,25_66_65_32_21_
09:02:28,42.19,22,804,42.19_42.20_42.21_42.22_42.23_,37_127_61_66_104_,42.18_42.17_42.16_42.15_42.13_,31_62_68_32_21_
09:02:38,42.18,8,814,42.19_42.20_42.21_42.22_42.23_,38_127_61_66_103_,42.18_42.17_42.16_42.15_42.13_,26_64_69_34_21_
09:02:49,42.19,11,873,42.19_42.20_42.21_42.22_42.23_,34_127_61_66_103_,42.18_42.17_42.16_42.15_42.13_,100_67_71_34_21_
09:03:20,42.18,5,991,42.19_42.20_42.21_42.22_42.23_,29_91_61_66_103_,42.18_42.17_42.16_42.15_42.13_,22_8_17_35_26_
09:03:30,42.18,9,1019,42.18_42.19_42.20_42.21_42.22_,5_30_91_61_66_,42.17_42.16_42.15_42.13_42.12_,10_17_35_26_47_
09:03:40,42.18,31,1052,42.19_42.20_42.21_42.22_42.23_,29_91_61_67_103_,42.18_42.17_42.16_42.15_42.13_,21_63_17_34_27_
09:03:50,42.18,53,1109,42.19_42.20_42.21_42.22_42.23_,27_91_61_67_205_,42.17_42.16_42.15_42.13_42.12_,58_18_34_27_51_
09:04:01,42.17,100,1269,42.19_42.20_42.21_42.22_42.23_,26_91_11_67_205_,42.17_42.16_42.15_42.13_42.12_,12_25_34_27_52_
09:04:16,42.19,15,1287,42.19_42.20_42.21_42.22_42.23_,12_91_11_67_205_,42.17_42.16_42.15_42.13_42.12_,61_79_56_26_52_
09:04:26,42.19,1,1288,42.19_42.20_42.21_42.22_42.23_,12_93_11_67_103_,42.17_42.16_42.15_42.13_42.12_,58_77_54_26_52_
09:04:37,42.17,8,1296,42.19_42.20_42.21_42.22_42.23_,32_93_11_67_103_,42.17_42.16_42.15_42.13_42.12_,56_78_54_26_52_
09:04:57,42.19,2,1314,42.19_42.20_42.21_42.22_42.23_,39_93_11_67_103_,42.17_42.16_42.15_42.13_42.12_,81_80_65_26_50_
09:05:07,42.19,10,1324,42.19_42.20_42.21_42.22_42.23_,29_93_11_67_103_,42.17_42.16_42.15_42.13_42.12_,44_25_46_26_50_
09:05:17,42.20,30,1354,42.20_42.21_42.22_42.23_42.24_,92_11_67_105_271_,42.17_42.16_42.15_42.13_42.12_,103_79_46_26_50_
09:05:38,42.19,6,1362,42.19_42.20_42.21_42.22_42.23_,5_116_11_67_103_,42.18_42.17_42.16_42.15_42.13_,18_102_81_46_21_
09:06:09,42.20,2,1425,42.20_42.21_42.22_42.23_42.24_,123_21_69_103_271_,42.19_42.18_42.17_42.16_42.15_,139_42_103_80_43_
09:06:19,42.20,164,1591,42.21_42.22_42.23_42.24_42.25_,70_171_205_171_135_,42.20_42.19_42.18_42.17_42.16_,638_138_45_47_25_
09:06:50,42.22,12,1676,42.22_42.23_42.24_42.25_42.26_,111_205_171_184_117_,42.21_42.20_42.19_42.18_42.17_,4_1539_146_38_46_
09:07:00,42.22,2,1690,42.22_42.23_42.24_42.25_42.26_,109_205_171_180_115_,42.21_42.20_42.19_42.18_42.17_,19_1552_146_38_27_
09:07:20,42.22,110,1828,42.23_42.24_42.25_42.26_42.27_,205_171_178_123_382_,42.22_42.21_42.20_42.19_42.18_,4_20_1550_146_38_
09:07:41,42.22,1,1938,42.23_42.24_42.25_42.26_42.27_,107_273_285_117_82_,42.22_42.21_42.20_42.19_42.18_,40_23_1497_146_18_
09:07:46,42.22,4,1942,42.23_42.24_42.25_42.26_42.27_,107_273_280_117_82_,42.22_42.21_42.20_42.19_42.18_,36_23_1497_146_18_
09:08:17,42.22,15,2054,42.22_42.23_42.24_42.25_42.26_,7_96_273_283_119_,42.21_42.20_42.19_42.18_42.17_,29_1497_146_17_27_
09:09:18,42.20,25,2159,42.21_42.22_42.23_42.24_42.25_,29_298_100_273_236_,42.20_42.19_42.18_42.17_42.16_,1477_23_17_122_70_
09:09:28,42.21,10,2169,42.21_42.22_42.23_42.24_42.25_,20_298_100_273_236_,42.20_42.19_42.18_42.17_42.16_,1477_23_17_117_65_
09:09:59,42.21,14,2393,42.21_42.22_42.23_42.24_42.25_,4_298_100_273_282_,42.20_42.19_42.18_42.17_42.16_,1374_23_17_67_71_
09:10:19,42.21,5,2402,42.21_42.22_42.23_42.24_42.25_,2_298_105_273_282_,42.20_42.19_42.18_42.17_42.16_,1374_33_17_67_87_
09:10:40,42.20,1,2483,42.21_42.22_42.23_42.24_42.25_,5_298_105_273_282_,42.20_42.19_42.18_42.17_42.16_,1291_33_17_67_87_
09:11:00,42.21,1,2519,42.21_42.22_42.23_42.24_42.25_,266_43_105_273_280_,42.20_42.19_42.18_42.17_42.16_,1285_33_17_67_85_
