09:00:08,8.87,20788,20788,8.87_,7083_,8.86_8.85_8.84_8.83_8.82_,40_824_231_51_16_
09:00:49,8.81,323,24773,8.81_8.82_8.83_8.84_8.85_,108_81_325_372_148_,8.80_8.79_8.78_8.77_8.76_,2004_28_12_25_45_
09:00:59,8.81,287,25226,8.81_8.82_8.83_8.84_8.85_,142_49_326_139_238_,8.80_8.79_8.78_8.77_8.76_,1789_28_12_25_45_
09:01:20,8.81,450,27855,8.81_8.82_8.83_8.84_8.85_,155_16_44_66_287_,8.80_8.79_8.78_8.77_8.76_,458_27_12_27_81_
09:01:30,8.80,470,28757,8.80_8.81_8.82_8.83_8.84_,243_843_32_49_40_,8.79_8.78_8.77_8.76_8.75_,35_13_27_81_107_
09:01:40,8.78,297,29645,8.79_8.80_8.81_8.82_8.83_,25_321_880_34_49_,8.78_8.77_8.76_8.75_8.72_,12_32_203_112_60_
09:01:50,8.77,102,29918,8.78_8.79_8.80_8.81_8.82_,87_24_599_366_31_,8.77_8.76_8.75_8.72_8.71_,85_33_113_60_84_
09:01:56,8.75,236,30154,8.76_8.77_8.78_8.79_8.80_,21_17_239_7_615_,8.75_8.72_8.71_8.70_8.68_,60_60_224_269_16_
09:02:06,8.75,55,30366,8.75_8.76_8.77_8.78_8.79_,83_48_91_173_20_,8.73_8.72_8.71_8.70_8.68_,1_10_134_409_21_
09:02:16,8.75,80,30581,8.75_8.76_8.77_8.78_8.79_,316_106_50_81_20_,8.73_8.72_8.71_8.70_8.68_,24_112_146_470_161_
09:02:26,8.75,485,31189,8.76_8.77_8.78_8.79_8.80_,104_34_81_21_1052_,8.75_8.74_8.73_8.72_8.71_,140_16_85_142_96_
09:02:37,8.76,273,31826,8.77_8.78_8.79_8.80_8.81_,34_89_26_1056_238_,8.76_8.75_8.74_8.73_8.72_,126_224_26_88_142_
09:02:47,8.76,101,31998,8.77_8.78_8.79_8.80_8.81_,32_89_26_1334_229_,8.76_8.75_8.74_8.73_8.72_,245_359_29_88_281_
09:02:57,8.77,48,32170,8.78_8.79_8.80_8.81_8.82_,79_49_1556_209_53_,8.77_8.76_8.75_8.74_8.73_,258_320_385_29_235_
09:03:17,8.78,249,33214,8.78_8.79_8.80_8.81_8.82_,260_169_1897_209_53_,8.77_8.76_8.75_8.74_8.73_,159_430_532_42_247_
